Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Managing Partner,Managing,2,16,8,manage,VERB,VBG,compound,Xxxxx,0.0
Managing Partner,Partner,2,16,7,Partner,PROPN,NNP,ROOT,Xxxxx,0.0
Partner,Partner,1,11,7,partner,NOUN,NN,ROOT,Xxxxx,0.0
"Lecturer, Departments of Statistics and Computer Science",Lecturer,7,1,8,Lecturer,PROPN,NNP,ROOT,Xxxxx,0.0
"Lecturer, Departments of Statistics and Computer Science",",",7,1,1,",",PUNCT,",",punct,",",0.0
"Lecturer, Departments of Statistics and Computer Science",Departments,7,1,11,department,NOUN,NNS,appos,Xxxxx,0.0
"Lecturer, Departments of Statistics and Computer Science",of,7,1,2,of,ADP,IN,prep,xx,0.0
"Lecturer, Departments of Statistics and Computer Science",Statistics,7,1,10,Statistics,PROPN,NNPS,nmod,Xxxxx,0.0
"Lecturer, Departments of Statistics and Computer Science",and,7,1,3,and,CCONJ,CC,cc,xxx,0.0
"Lecturer, Departments of Statistics and Computer Science",Computer,7,1,8,Computer,PROPN,NNP,compound,Xxxxx,0.0
"Lecturer, Departments of Statistics and Computer Science",Science,7,1,7,Science,PROPN,NNP,pobj,Xxxxx,0.0
Co-Founder,Co,1,45,2,co,NOUN,NN,ROOT,Xx,0.0
Co-Founder,-,1,45,1,-,PROPN,NNP,punct,-,0.0
Co-Founder,Founder,1,45,7,Founder,PROPN,NNP,conj,Xxxxx,0.0
Founder and Chairman Of The Board,Founder,6,1,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Founder and Chairman Of The Board,and,6,1,3,and,CCONJ,CC,cc,xxx,0.0
Founder and Chairman Of The Board,Chairman,6,1,8,Chairman,PROPN,NNP,conj,Xxxxx,0.0
Founder and Chairman Of The Board,Of,6,1,2,of,ADP,IN,prep,Xx,0.0
Founder and Chairman Of The Board,The,6,1,3,the,DET,DT,det,Xxx,0.0
Founder and Chairman Of The Board,Board,6,1,5,Board,PROPN,NNP,pobj,Xxxxx,0.0
Advisor,Advisor,1,2,7,Advisor,PROPN,NNP,ROOT,Xxxxx,0.0
Founder &amp; Chief Executive Officer,Founder,5,6,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Founder &amp; Chief Executive Officer,&,5,6,1,&,CCONJ,CC,cc,&,0.0
Founder &amp; Chief Executive Officer,amp,5,6,3,amp,NOUN,NN,conj,xxx,0.0
Founder &amp; Chief Executive Officer,;,5,6,1,;,PUNCT,:,punct,;,0.0
Founder &amp; Chief Executive Officer,Chief,5,6,5,Chief,PROPN,NNP,compound,Xxxxx,0.0
Founder &amp; Chief Executive Officer,Executive,5,6,9,Executive,PROPN,NNP,compound,Xxxxx,0.0
Founder &amp; Chief Executive Officer,Officer,5,6,7,Officer,PROPN,NNP,appos,Xxxxx,0.0
Co-Founder &amp; Chairman,Co,3,3,2,Co,PROPN,NNP,compound,Xx,0.0
Co-Founder &amp; Chairman,-,3,3,1,-,PROPN,NNP,compound,-,0.0
Co-Founder &amp; Chairman,Founder,3,3,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Co-Founder &amp; Chairman,&,3,3,1,&,CCONJ,CC,cc,&,0.0
Co-Founder &amp; Chairman,amp,3,3,3,amp,NOUN,NN,conj,xxx,0.0
Co-Founder &amp; Chairman,;,3,3,1,;,PUNCT,:,punct,;,0.0
Co-Founder &amp; Chairman,Chairman,3,3,8,chairman,NOUN,NN,appos,Xxxxx,0.0
Co Founder &amp; CMO,Co,4,1,2,Co,PROPN,NNP,compound,Xx,0.0
Co Founder &amp; CMO,Founder,4,1,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Co Founder &amp; CMO,&,4,1,1,&,CCONJ,CC,cc,&,0.0
Co Founder &amp; CMO,amp,4,1,3,amp,PROPN,NNP,conj,xxx,0.0
Co Founder &amp; CMO,;,4,1,1,;,PUNCT,:,punct,;,0.0
Co Founder &amp; CMO,CMO,4,1,3,CMO,PROPN,NNP,appos,XXX,0.0
Co-Founder &amp; CEO,Co,3,32,2,Co,PROPN,NNP,compound,Xx,0.0
Co-Founder &amp; CEO,-,3,32,1,-,PROPN,NNP,compound,-,0.0
Co-Founder &amp; CEO,Founder,3,32,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Co-Founder &amp; CEO,&,3,32,1,&,CCONJ,CC,cc,&,0.0
Co-Founder &amp; CEO,amp,3,32,3,amp,PROPN,NNP,conj,xxx,0.0
Co-Founder &amp; CEO,;,3,32,1,;,PUNCT,:,punct,;,0.0
Co-Founder &amp; CEO,CEO,3,32,3,ceo,NOUN,NN,appos,XXX,0.0
Founding Team &amp; VP of Partnerships,Founding,6,1,8,found,VERB,VBG,ROOT,Xxxxx,0.0
Founding Team &amp; VP of Partnerships,Team,6,1,4,Team,PROPN,NNP,dobj,Xxxx,0.0
Founding Team &amp; VP of Partnerships,&,6,1,1,&,CCONJ,CC,cc,&,0.0
Founding Team &amp; VP of Partnerships,amp,6,1,3,amp,PROPN,NNP,conj,xxx,0.0
Founding Team &amp; VP of Partnerships,;,6,1,1,;,PUNCT,:,punct,;,0.0
Founding Team &amp; VP of Partnerships,VP,6,1,2,VP,PROPN,NNP,npadvmod,XX,0.0
Founding Team &amp; VP of Partnerships,of,6,1,2,of,ADP,IN,prep,xx,0.0
Founding Team &amp; VP of Partnerships,Partnerships,6,1,12,partnership,NOUN,NNS,pobj,Xxxxx,0.0
"CTO, COO &amp; Co-Founder",CTO,4,1,3,CTO,PROPN,NNP,ROOT,XXX,0.0
"CTO, COO &amp; Co-Founder",",",4,1,1,",",PUNCT,",",punct,",",0.0
"CTO, COO &amp; Co-Founder",COO,4,1,3,COO,PROPN,NNP,conj,XXX,0.0
"CTO, COO &amp; Co-Founder",&,4,1,1,&,CCONJ,CC,cc,&,0.0
"CTO, COO &amp; Co-Founder",amp,4,1,3,amp,PROPN,NNP,conj,xxx,0.0
"CTO, COO &amp; Co-Founder",;,4,1,1,;,PUNCT,:,punct,;,0.0
"CTO, COO &amp; Co-Founder",Co,4,1,2,Co,PROPN,NNP,appos,Xx,0.0
"CTO, COO &amp; Co-Founder",-,4,1,1,-,PROPN,NNP,conj,-,0.0
"CTO, COO &amp; Co-Founder",Founder,4,1,7,founder,NOUN,NN,appos,Xxxxx,0.0
Founder and CEO,Founder,3,37,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Founder and CEO,and,3,37,3,and,CCONJ,CC,cc,xxx,0.0
Founder and CEO,CEO,3,37,3,ceo,NOUN,NN,conj,XXX,0.0
CEO and Co-Founder,CEO,3,6,3,ceo,NOUN,NN,ROOT,XXX,0.0
CEO and Co-Founder,and,3,6,3,and,CCONJ,CC,cc,xxx,0.0
CEO and Co-Founder,Co,3,6,2,Co,PROPN,NNP,conj,Xx,0.0
CEO and Co-Founder,-,3,6,1,-,PROPN,NNP,conj,-,0.0
CEO and Co-Founder,Founder,3,6,7,Founder,PROPN,NNP,conj,Xxxxx,0.0
Founder and President,Founder,3,1,7,founder,NOUN,NN,ROOT,Xxxxx,0.0
Founder and President,and,3,1,3,and,CCONJ,CC,cc,xxx,0.0
Founder and President,President,3,1,9,President,PROPN,NNP,conj,Xxxxx,0.0
Founder and Group CEO,Founder,4,1,7,Founder,PROPN,NNP,nmod,Xxxxx,0.0
Founder and Group CEO,and,4,1,3,and,CCONJ,CC,cc,xxx,0.0
Founder and Group CEO,Group,4,1,5,Group,PROPN,NNP,compound,Xxxxx,0.0
Founder and Group CEO,CEO,4,1,3,CEO,PROPN,NNP,ROOT,XXX,0.0
Founder &amp; General Partner,Founder,4,3,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Founder &amp; General Partner,&,4,3,1,&,CCONJ,CC,cc,&,0.0
Founder &amp; General Partner,amp,4,3,3,amp,PROPN,NNP,conj,xxx,0.0
Founder &amp; General Partner,;,4,3,1,;,PUNCT,:,punct,;,0.0
Founder &amp; General Partner,General,4,3,7,General,PROPN,NNP,compound,Xxxxx,0.0
Founder &amp; General Partner,Partner,4,3,7,Partner,PROPN,NNP,appos,Xxxxx,0.0
Co-Founder and CEO,Co,3,15,2,Co,PROPN,NNP,compound,Xx,0.0
Co-Founder and CEO,-,3,15,1,-,PROPN,NNP,compound,-,0.0
Co-Founder and CEO,Founder,3,15,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Co-Founder and CEO,and,3,15,3,and,CCONJ,CC,cc,xxx,0.0
Co-Founder and CEO,CEO,3,15,3,ceo,NOUN,NN,conj,XXX,0.0
Cofounder,Cofounder,1,2,9,cofounder,NOUN,NN,ROOT,Xxxxx,0.0
Founder,Founder,1,50,7,founder,NOUN,NN,ROOT,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Chief,9,1,5,Chief,PROPN,NNP,compound,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Product,9,1,7,Product,PROPN,NNP,compound,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Officer,9,1,7,Officer,PROPN,NNP,ROOT,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",",",9,1,1,",",PUNCT,",",punct,",",0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Executive,9,1,9,Executive,PROPN,NNP,compound,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Vice,9,1,4,Vice,PROPN,NNP,compound,Xxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",President,9,1,9,President,PROPN,NNP,compound,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",-,9,1,1,-,PUNCT,HYPH,punct,-,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Creative,9,1,8,Creative,PROPN,NNP,compound,Xxxxx,0.0
"Chief Product Officer, Executive Vice President - Creative Cloud",Cloud,9,1,5,Cloud,PROPN,NNP,appos,Xxxxx,0.0
CEO and Co-founder,CEO,3,1,3,ceo,NOUN,NN,ROOT,XXX,0.0
CEO and Co-founder,and,3,1,3,and,CCONJ,CC,cc,xxx,0.0
CEO and Co-founder,Co,3,1,2,co,NOUN,NN,conj,Xx,0.0
CEO and Co-founder,-,3,1,1,-,NOUN,NN,conj,-,0.0
CEO and Co-founder,founder,3,1,7,founder,NOUN,NN,conj,xxxx,0.0
Founder &amp; CEO,Founder,3,58,7,Founder,PROPN,NNP,ROOT,Xxxxx,0.0
Founder &amp; CEO,&,3,58,1,&,CCONJ,CC,cc,&,0.0
Founder &amp; CEO,amp,3,58,3,amp,PROPN,NNP,conj,xxx,0.0
Founder &amp; CEO,;,3,58,1,;,PUNCT,:,punct,;,0.0
Founder &amp; CEO,CEO,3,58,3,ceo,NOUN,NN,appos,XXX,0.0
CEO&amp; founder,CEO&amp,2,1,7,ceo&amp,NOUN,NN,ROOT,XXX&xxx,0.0
CEO&amp; founder,;,2,1,1,;,PUNCT,:,punct,;,0.0
CEO&amp; founder,founder,2,1,7,founder,NOUN,NN,appos,xxxx,0.0
