Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
0%,0,1,394,1,0,NUM,CD,nummod,d,0.0
0%,%,1,394,1,%,NOUN,NN,ROOT,%,0.0
1%,1,1,243,1,1,NUM,CD,nummod,d,0.0
1%,%,1,243,1,%,NOUN,NN,ROOT,%,0.0
2%,2,1,146,1,2,NUM,CD,nummod,d,0.0
2%,%,1,146,1,%,NOUN,NN,ROOT,%,0.0
3%,3,1,55,1,3,NUM,CD,nummod,d,0.0
3%,%,1,55,1,%,NOUN,NN,ROOT,%,0.0
7%,7,1,8,1,7,NUM,CD,nummod,d,0.0
7%,%,1,8,1,%,NOUN,NN,ROOT,%,0.0
5%,5,1,21,1,5,NUM,CD,nummod,d,0.0
5%,%,1,21,1,%,NOUN,NN,ROOT,%,0.0
6%,6,1,12,1,6,NUM,CD,nummod,d,0.0
6%,%,1,12,1,%,NOUN,NN,ROOT,%,0.0
4%,4,1,47,1,4,NUM,CD,nummod,d,0.0
4%,%,1,47,1,%,NOUN,NN,ROOT,%,0.0
11%,11,1,3,2,11,NUM,CD,nummod,dd,0.0
11%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
10%,10,1,4,2,10,NUM,CD,nummod,dd,0.0
10%,%,1,4,1,%,NOUN,NN,ROOT,%,0.0
8%,8,1,6,1,8,NUM,CD,nummod,d,0.0
8%,%,1,6,1,%,NOUN,NN,ROOT,%,0.0
12%,12,1,3,2,12,NUM,CD,nummod,dd,0.0
12%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
61%,61,1,1,2,61,NUM,CD,nummod,dd,0.0
61%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
67%,67,1,1,2,67,NUM,CD,nummod,dd,0.0
67%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
64%,64,1,1,2,64,NUM,CD,nummod,dd,0.0
64%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
66%,66,1,3,2,66,NUM,CD,nummod,dd,0.0
66%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
68%,68,1,1,2,68,NUM,CD,nummod,dd,0.0
68%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14%,14,1,3,2,14,NUM,CD,nummod,dd,0.0
14%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
9%,9,1,5,1,9,NUM,CD,nummod,d,0.0
9%,%,1,5,1,%,NOUN,NN,ROOT,%,0.0
63%,63,1,1,2,63,NUM,CD,nummod,dd,0.0
63%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
65%,65,1,1,2,65,NUM,CD,nummod,dd,0.0
65%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
13%,13,1,1,2,13,NUM,CD,nummod,dd,0.0
13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
15%,15,1,1,2,15,NUM,CD,nummod,dd,0.0
15%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
